,CrunchBase Ranking,Company Name/Organisation Name,Acquired by,About,Location,Number of Employees,Industry,IPO Status,Website,Founded Date,Headquarters,Founders,Operating Status,Hub Tags,Last Funding Type,Company Type,Investor Type,Investment Stage,Number of Investors,Number Funding Rounds,Total Funding Amount,Number of exits,Number of Lead Investors,Number of Acquisitions,Number of Current Team Members (core team),Number of Board Members/Advisors,Total Products Active,Product Downloads in the Last 30 Days,Active Tech Count,Monthly Visits,Monthly Visits Growth,Number of Articles,Number of Events,Number of Funds,Number of Investments,Number of Diversity Investments,Number of Exits,Related Hubs,Stock Symbol,IPO Date,Number of Sub,Organisations,Funding Rounds,Funds Raised (for VC),Number of Lead Investments
27,227,wallapop,NA,"['Wallapop is a hyper-local mobile marketplace for buying and selling secondhand goods.', '180 million items, provides people with access to unique goods at great prices while extending the life of fully functional products. Since its inception, Wallapop has been committed to continuous innovation in the online classifieds industry and second-hand market and aspires to use technology to contribute to sustainability. The company is backed by investors Korelya Capital, NAVER, Accel, Insight Venture Partners, 14W, and Northzone. It was founded in Barcelona, Catalonia, Spain by Agustin Gomez, Miguel Vicente, and Gerard Olive in 2013.']","Barcelona, Catalonia, Spain",101-250,"['E-Commerce Platforms', 'Marketplace', 'Mobile Apps', 'Shopping', 'Social Shopping']",Private,www.wallapop.com,['2013'],['European Union (EU)'],"['Agustin Gomez, Gerard Olive, Miguel Vicente']",['Active'],NA,['Series G'],['For Profit'],NA,NA,21,NA,€158.6M,NA,NA,1,9,NA,NA,"409,452",113,"19,938,637",0.50%,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,228,vroom-com,NA,"['Vroom is an innovative, end-to-end ecommerce platform designed to offer a better way to buy and sell used vehicles.', 'and at home pick-up and delivery.\nIt was founded in 2013 and is located in New York City.']","New York, New York, United States",501-1000,"['Automotive', 'E-Commerce', 'Marketing', 'Sales']",Public,www.vroom.com/,['2013'],"['Greater New York Area, East Coast, Northeastern US']","['Kevin Westfall, Marshall Chesrown, Scott Chesrown']",['Active'],NA,['Series H'],['For Profit'],NA,NA,13,8,$721.3M,NA,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,229,plume-design-inc,NA,"['Plume is a SaaS platform that provides the delivery of technological services for connected homes.', 'to provide support.\nFounded in 2015, the company is headquartered in Palo Alto, California.']","Palo Alto, California, United States",251-500,"['Artificial Intelligence', 'Machine Learning', 'Network Hardware', 'SaaS', 'Smart Home', 'Wireless']",Private,www.plume.com/,['2015'],"['San Francisco Bay Area, Silicon Valley, West Coast']","['Adam Hotchkiss, Aman Singla, Fahri Diner, Sri Nathan']",['Active'],NA,['Series E'],['For Profit'],NA,NA,16,NA,$447.4M,NA,NA,1,12,NA,32,NA,55,"121,350",-23.74%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,230,novartis,NA,"['Novartis is a healthcare company that provides solutions to address the evolving needs of patients worldwide.', ""Novartis is a global healthcare company based in Switzerland that provides solutions to address the evolving needs of patients worldwide.\nTheir mission is to discover new ways to improve and extend people's lives.\nThey apply their expertise in science and innovation to society’s biggest health challenges. Responsibility is a core part of"", 'their business strategy.']","Basel, Basel-Stadt, Switzerland",10001+,"['Biotechnology', 'Health Care', 'Medical', 'Pharmaceutical']",Public,www.novartis.com,['1996'],NA,"['Alexander Clavel, Joerg Reinhardt, Johann Rudolf']",['Active'],NA,['Grant'],['For Profit'],NA,NA,NA,1,$6.5M,15,NA,23,106,NA,39,NA,89,"864,767",20.89%,NA,NA,NA,47,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
31,231,beam-technologies,NA,"['Beam Dental is a digital provider of dental benefits that focuses on preventative care and rewards for oral hygiene practices.', ""Beam Dental is a digital-first provider of dental benefits for businesses. The company's product experience focuses on ease-of-use and tailored pricing that is fundamentally built on preventive care. Beam incorporates rewards for dental hygiene into policy pricing.""]","Columbus, Ohio, United States",101-250,"['Dental', 'Insurance', 'Loyalty Programs', 'mHealth']",Private,www.beam.dental,['2012'],"['Great Lakes, Midwestern US']","['Alex Curry, Alex Frommeyer, Dan Dykes']",['Active'],NA,['Series E'],['For Profit'],NA,NA,8,6,$168.4M,NA,5,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,232,petal,NA,"['Petal is a financial technology company on a mission to make credit honest, simple, and accessible.', 'Petal\u200a is a new kind of credit card company that is built to help people financially succeed. It aims to make credit honest, simple, and accessible. The company uses machine learning to analyze a customer’s full digital financial record—not just their credit score.\nPetal has pioneered cash flow underwriting, as an alternative to credit scores, to', 'make credit more accessible, and offers a simple, modern digital experience that encourages members to build credit, avoid debt, and spend responsibly. Petal is based in New York, New York, and Richmond, Virginia. The Petal credit card is issued by WebBank, Member FDIC.']","New York, New York, United States",101-250,"['Credit Cards', 'Financial Services', 'FinTech', 'Machine Learning']",Private,www.petalcard.com/,['2016'],"['Greater New York Area, East Coast, Northeastern US']","['Andrew Endicott, David Ehrich, Jack Arenas, Jason Gross']",['Active'],NA,['Debt Financing'],['For Profit'],NA,NA,38,9,$562.2M,NA,4,NA,6,NA,20,NA,54,"573,138",-8.77%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,233,betterment,NA,"['Betterment is a goal-based online investment company, delivering personalized financial advice paired with low fees and customer experience.', 'their portfolio’s activities as well as deposit and withdraw money from anywhere, anytime. Betterments products also include Tax Loss Harvesting, a program that works to offset taxes on both gains and income; and RetireGuide, a series of online surveys to enable users to determine the success of their long-term financial goals.']","New York, New York, United States",101-250,"['Finance', 'Financial Services', 'FinTech', 'Impact Investing', 'Internet']",Private,www.betterment.com,"['Aug 25, 2008']","['Greater New York Area, East Coast, Northeastern US']","['Eli Broverman, Jon Stein']",['Active'],NA,['Secondary Market'],['For Profit'],NA,NA,15,7,$275M,NA,6,1,15,NA,34,"24,221",60,"1,990,298",14.09%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,234,tealium,NA,"['Tealium is a provider of customer data orchestration tools aimed to address challenges in online search, marketing, and segment targeting.', 'Tealium is a provider of customer data orchestration tools aimed to address challenges in online search, analytics, marketing, and segment targeting. It helps clients solve their customer data integration challenges at the source.\nThe company connects customer data – spanning web, mobile, offline, and IoT devices, enabling brands to connect with', ""their customers. Tealium's turnkey integration ecosystem supports over 1,300 client-side and server-side vendors and technologies, empowering brands to create a unified, real-time customer data infrastructure. The Tealium Customer Data Hub encompasses tag management, an API hub, a customer data platform with machine learning, and data management solutions that make customer data more valuable, actionable, and secure. More than 1,000 businesses worldwide trust Tealium to power their customer data strategies. Tealium is funded by Battery Ventures, Tenaya Capital, Presidio Ventures, Georgian, and Silver Lake Waterman. It was named to Forbes’ list of “America’s Most Promising Companies,” and is also a recent winner of the 2013 Red Herring Global 100 Award.\nFormer WebSideStory colleagues Ali Behnam and Mike Anderson co-founded the San Diego, California-based Tealium in 2008.""]","San Diego, California, United States",501-1000,"['Analytics', 'Data Integration', 'Developer APIs', 'Enterprise Software', 'Marketing']",Private,www.tealium.com,['2008'],"['Greater San Diego Area, West Coast, Western US']","['Ali Behnam, Mike Anderson']",['Active'],NA,['Series G'],['For Profit'],NA,NA,17,9,$263.9M,NA,6,NA,11,NA,46,NA,59,"104,549",12.89%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,235,sharecare,NA,"['Sharecare is a health and wellness engagement platform providing consumers with information, programs and resources to improve their health.', 'professionals they need to live their healthiest, happiest and most productive life. With award-winning and innovative frictionless technologies, scientifically validated clinical protocols and best-in-class coaching tools, Sharecare helps providers, employers and health plans effectively scale outcomes-based health and wellness solutions across their entire populations. To learn more, visit www.sharecare.com.\nIn 2017 alone, Sharecare has raised more than $100 million in new funding; and more than $300 million in total capital since its founding in 2010. May 26, 2017 Sharecare announced it has received an investment from global alternative investment firm, Summit Partners. Sharecare will use the debt capital to fund new capabilities and acquire talent to support the aggressive growth trajectory of both the company and its platform, where people can manage all their health in one place.']","Atlanta, Georgia, United States",1001-5000,"['Consumer', 'Health Care', 'Information Technology', 'mHealth', 'Wellness']",Private,www.sharecare.com,"['Oct 7, 2010']","['Greater Atlanta Area, East Coast, Southern US']","['Jeff Arnold, Mehmet Oz']",['Active'],NA,['Venture - Series Unknown'],['For Profit'],NA,NA,18,13,$425M,NA,7,17,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,236,boston-dynamics,NA,"['Boston Dynamics is an engineering company that specializes in building dynamic robots and software for human simulation.', 'Organizations worldwide, from DARPA, the US Army, Navy and Marine Corps to Sony Corporation turn to Boston Dynamics for advice and for help creating the most advanced robots on Earth.\nIn addition, Boston Dynamics is the home of DI-Guy, real-time Human Simulation, and Artificial Intelligence software, the leading solution in the VizSim market.']","Waltham, Massachusetts, United States",251-500,"['Artificial Intelligence', 'Hardware', 'Industrial Engineering', 'Robotics', 'Software']",Private,bostondynamics.com,['1992'],"['Greater Boston Area, East Coast, New England']",['Marc Raibert'],['Active'],NA,['Venture - Series Unknown'],['For Profit'],NA,NA,1,1,$37M,NA,1,1,14,NA,17,"28,629",55,"520,907",12.23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,237,papaya-global,NA,"['Papaya Global provides a cloud-based HR and payroll platform for global workforce management.', 'Papaya Global provides a cloud-based HR and payroll platform for global workforce management.\nThe automated, cloud-based SaaS platform unifies all workforce management tasks under one platform – providing an end-to-end solution, from onboarding to on-going management and cross-border payments. It also integrates with all existing HRIS management', 'tools, provides real-time business intelligence, and eliminates errors. It gathers all employee information into one place, creating a highly visible system for tracking payroll spending. The platform ensures GDPR and SOC compliance to maintain the highest standard of security.\nThe company was co-founded by Eynat Guez, Ruben Drong, and Ofer Herman in 2016 and is headquartered in New York, New York.']","New York, New York, United States",101-250,"['Data Integration', 'Employment', 'Human Resources', 'Recruiting', 'SaaS']",Private,papayaglobal.com,['2016'],"['Greater New York Area, East Coast, Northeastern US']","['Eynat Guez, Ofer Herman, Ruben Drong']",['Active'],NA,['Series C'],['For Profit'],NA,NA,14,NA,$194.5M,NA,NA,NA,8,NA,34,NA,30,"13,634",0.68%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,238,chainlink,NA,"['Chainlink provides reliable tamper-proof inputs and outputs for complex smart contracts on any blockchain.', ""Chainlink provides reliable tamper-proof inputs and outputs for complex smart contracts on any blockchain.\nSmart Contracts provide the ability to execute tamper-proof digital agreements, which are considered highly secure and highly reliable. In order to maintain a contract's overall reliability, the inputs, and outputs that the contract"", 'relies on also need to be secure. Chainlinks provide a reliable connection to external data, that is provably secure end-to-end.\nThe company was founded in 2014 and based in Grand Cayman, Midland, Cayman Islands.']","Grand Cayman, Midland, Cayman Islands",1-Oct,"['Blockchain', 'Information Technology', 'Internet', 'Security', 'Software']",Private,chain.link/,"['Jan 1, 2014']",NA,['Sergey Nazarov'],['Active'],NA,['Initial Coin Offering'],['For Profit'],NA,NA,5,NA,$32M,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,239,bank-of-america,NA,"['Bank of America offers banking, investing, and other financial and risk management services to individuals, SMBs and large corporations.', 'Bank of America is a financial institution, serving individual consumers, small- and middle-market businesses, and large corporations with a full range of banking, investing, asset management, and other financial and risk management products and services.\nThey serve approximately 51 million consumer and small business relationships with', ""approximately 5,300 retail banking offices and approximately 16,350 ATMs and award-winning online banking with 30 million active users and more than 13 million mobile users. It offers industry-leading support to approximately 3 million small business owners through a suite of innovative, easy-to-use online products and services. The company serves clients through operations in more than 40 countries.\nBank of America is among the world's leading wealth management companies and is a global leader in corporate and investment banking and trading across a broad range of asset classes, serving corporations, governments, institutions, and individuals around the world.\nBank of America Corporation stock (NYSE: BAC) is a component of the Dow Jones Industrial Average and is listed on the New York Stock Exchange. It was founded in 1998 and is headquartered in Charlotte, North Carolina, United States.""]","Charlotte, North Carolina, United States",10001+,"['Asset Management', 'Banking', 'Finance', 'Financial Services', 'FinTech', 'Small and Medium Businesses']",NA,www.bankofamerica.com,"['Jul 31, 1998']","['East Coast, Southern US']",['Steven Wences'],['Closed'],NA,['Post-IPO Equity'],['For Profit'],NA,NA,2,3,$1.2B,39,1,8,NA,NA,54,"941,677",117,"147,195,132",1.72%,NA,NA,NA,98,4,39,NA,['NYSE:BAC'],NA,NA,NA,NA,NA,NA
40,240,getyourguide,NA,"['GetYourGuide operates an online platform for booking tours, attractions, and activities worldwide.', 'GetYourGuide operates an online platform for booking tours, attractions, and activities worldwide. It offers tourist services online via the Internet and mobile applications. The platform sells tours and excursions, activities including cooking classes and tickets to many tourist attractions.\nGetYourGuide runs a thriving and viral business', 'curating, selling tickets for running walks and other exploration experiences for people touring different parts of the world. The business model for GetYourGuide stipulates that it does not offer its own tours or activities, but rather, acts as a mediator between customers and providers. The service is free for customers, but the provider of the tour has to pay GetYourGuide a percentage of its revenue.\nGetYourGuide, an online customer review system, enables potential customers to assess the quality of tour providers. Additionally, the platform removes providers who consistently get bad reviews from its inventory.\nJochen Mattes, Johannes Reck, Martin Sieber, Pascal Mathis, Tao Tao, and Tobias Rein founded GetYourGuide on June 1, 2009. It has its headquarters in Berlin in Germany with additional offices in North America and Europe.']","Berlin, Berlin, Germany",501-1000,"['Consumer Reviews', 'E-Commerce', 'Hospitality', 'Recreation', 'Tourism', 'Travel']",Private,www.getyourguide.com/,['2009'],['European Union (EU)'],"['Johannes Reck, Martin Sieber, Tao Tao, Tobias Rein']",['Active'],NA,['Debt Financing'],['For Profit'],NA,NA,34,11,$886.2M,NA,12,2,16,NA,59,"102,319",39,"2,812,509",-7.36%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,241,cloudflare,NA,"['Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online.', 'mobiles and computers, CloudFlare security that protects websites from a range of online threats including spam, SQL injection, and DDOS, Cloudflare analytics that gives insight into website’s traffic including threats and search engine crawlers, Keyless SSL that allows organizations to keep secure sockets layer (SSL) keys private, and Cloudflare applications that help its users install web applications on their websites.\nLee Holloway, Matthew Prince, and Michelle Zatlyn founded Cloudflare in 2009, with its headquarters in San Francisco in California.']","San Francisco, California, United States",501-1000,"['Ad Server', 'Advertising', 'Analytics', 'Enterprise Software', 'Security', 'Web Hosting']",Public,www.cloudflare.com,['Jun 2009'],"['San Francisco Bay Area, West Coast, Western US']","['Lee Holloway, Matthew Prince, Michelle Zatlyn']",['Active'],NA,['Series E'],['For Profit'],NA,NA,14,7,$332.1M,NA,7,6,39,NA,70,NA,93,"14,039,782",5.04%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,242,codat,NA,"['Codat is an API platform that provides real-time connectivity to the financial software used by small businesses.', 'for small businesses.Codat has over 60 clients globally, across various different industries from traditional lenders to invoice financing, insurance to cashflow forecasting.']","London, England, United Kingdom",101-250,"['Developer APIs', 'Financial Services', 'FinTech', 'Software']",Private,www.codat.io,['Jan 2017'],NA,"['Alex Cardona, David Hoare, Peter Lord']",['Active'],NA,['Venture - Series Unknown'],['For Profit'],NA,NA,4,NA,$19.6M,NA,NA,NA,9,NA,28,NA,59,"19,951",-19.29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,243,live-nation-entertainment,NA,"['Live Nation Entertainment is the live entertainment and eCommerce company.', 'Live Nation Entertainment Inc, the world’s live entertainment company, combines several entertainment brands, including Ticketmaster.com, Live Nation Concerts, the Live Nation and Live Nation Productions.\nLive Nation began as SFX Entertainment, a part of SFX Broadcasting, and then became a division of Clear Channel Communications. It became its', 'own entity in 2005 with Michael Rapino as President and CEO. Since then, Live Nation has provided live entertainment services to fans in over 40 countries around the world through promotion and hundreds of entertainment venues.\nLive Nation partnered with Ticketmaster, the global leader in live event ticketing, in 2010 to form Live Nation Entertainment. This relationship has allowed both companies to expand their reach to help more fans experience the power of live each year.\nLive Nation Concerts produces over 35,000 live music events annually in conjunction with Live Nation Entertainment’s 4,000+ touring artists. Live Nation fully acquired Front Line Management Group in 2011, giving the company access to the artists it represents, now numbering over 500, including top acts such as Chicago, Alan Jackson and Jimmy Buffett.\nEach of these businesses supports the Live Nation Network, the leading provider of entertainment marketing solutions. Live Nation Network connects more than 1000 advertisers to its network of consumers through Live Nation live event and digital platforms.\nLive Nation Entertainment has recently focused investments on profitable music festivals and initiatives associated with them. Some of the festivals Live Nation Entertainment has a controlling stake in include Lollapalooza and Bonnaroo. They also have a partnership with Insomniac who runs the Electric Daisy Carnival. Part of these investments include upgrading facilities at the festivals, including adding permanent bathrooms and running water.\nLive Nation Entertainment has an international presence, which has allowed them to acquire businesses around the world including the House of Blues (2006), a United States concert promoter; Union Events in Canada (2016) and Mainland Music (2018), based in Switzerland. It has also gained majority interest in AC Entertainment (2016), the Sweden Rock Festival (2016), Australia’s Secret Sounds Group (2016) and DF Entertainment (2018).']","Beverly Hills, California, United States",10001+,"['Concerts', 'Digital Entertainment', 'Event Management', 'Event Promotion', 'Events', 'Media and Entertainment', 'Ticketing']",Public,www.livenationentertainment.com/,"['Jan 1, 2005']","['Greater Los Angeles Area, West Coast, Western US']",['Robert FX Sillerman'],['Active'],NA,['Post-IPO Equity'],['For Profit'],NA,NA,NA,1,$518M,1,NA,37,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
44,244,betfair,NA,"[""Flutter Entertainment is the world's leading online sports betting and gaming operator."", 'Flutter operates some of the world’s most recognisable sports betting, gaming, and entertainment brands, namely Paddy Power, Betfair, FanDuel, Sportsbet, TVG, and Adjarabet. Flutter has over 6 million customers in more than 100 countries.\nIn addition to the exchange, Betfair has an established games portfolio. Betfair Games, Betfair Poker, Betfair', ""Casino and Betfair's multiples and accumulator products, are hosted from Malta, which is an area that has seen significant growth and investment. The company is also developing automated price feeds to third parties, establishing white-label exchanges and through its own Betfair Mobile product.\nOn May 28, 2019, Paddy Power Betfair has completed its rebrand as Flutter Entertainment. The operator’s shares now trade as Flutter Entertainment plc under the ticker symbol FLTR on both the London Stock Exchange and Euronext Dublin.""]","Dublin, Dublin, Ireland",5001-10000,"['Gambling', 'Gaming', 'Hotel', 'Internet', 'Online Portals']",Public,www.flutter.com/,['2000'],['European Union (EU)'],"['Andrew Black, Ed Wray, Gerard Cunningham, Josh Hannah, Mark Davies']",['Active'],NA,['Post-IPO Equity'],['For Profit'],NA,NA,NA,3,£812.6M,1,NA,9,10,NA,19,"98,404",2,"26,290",-23.52%,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
45,245,brandwatch,NA,"['Brandwatch is a consumer intelligence and social media listening platform.', 'Brandwatch is a consumer intelligence and social media listening platform. Brandwatch is an enterprise social intelligence leader, empowering over 2,000 of the planet’s most admired brands and agencies including Unilever, Walmart, and Dell to make insightful, data-driven business decisions.\nThe company has made two acquisitions to date: PeerIndex', '(2013) and BuzzSumo (2017) as a standalone content marketing platform and was bolstered by its merger (2018) with Crimson Hexagon.\nBrandwatch has offices around the globe including Brighton, New York, San Francisco, Berlin, Stuttgart, Paris and Singapore.']","Brighton, East Sussex, United Kingdom",501-1000,"['Advertising', 'Analytics', 'Business Intelligence', 'Marketing', 'Social Media']",Private,www.brandwatch.com/,['2006'],NA,['Giles Palmer'],['Active'],NA,['Non-equity Assistance'],['For Profit'],NA,NA,5,7,$64.7M,NA,5,4,17,NA,40,NA,62,"1,110,020",5.05%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,246,cleveland-clinic,NA,"['Cleveland Clinic is a non-profit medical center that combines clinical and hospital care with research and education.', 'Cleveland Clinic is a non-profit academic medical center that integrates clinical and hospital care with research and education.\nThe mission of Cleveland Clinic is to provide better care of the sick, investigation into their problems, and further education of those who serve.\nIn 2008, Cleveland Clinic became the first healthcare provider in the', 'United States to become a signatory to the United Nations Global Compact and the second in the world.\nCleveland Clinic was founded in 1921 and is headquartered in Cleveland, Ohio, United States.']","Cleveland, Ohio, United States",1001-5000,"['Health Care', 'Hospital', 'Non Profit']",Private,my.clevelandclinic.org,['1921'],"['Great Lakes, Midwestern US']","['Frank E. Bunts, George Washington Crile, John Phillips, William Edgar Lower']",['Active'],NA,['Grant'],['Non-profit'],NA,NA,8,13,$326.6M,3,8,2,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
47,247,nextdoor,NA,"['Nextdoor is where neighbors come together for trusted connections and the exchange of helpful information, goods and services.', 'Nextdoor connects neighbors to each other — and to everything nearby: Local businesses, services, news updates, recommendations and stuff for sale from the people down the block. We believe by bringing neighbors together, we can cultivate a kinder world where everyone has a neighborhood they can rely on.\nBuilding connections in the real world is a', 'universal human need. That truth, and the reality that neighborhoods are among the most important communities in our lives, have been guiding principles for Nextdoor since the beginning. Today, neighbors rely on Nextdoor to tap into their neighborhoods around the world, including the United States, the United Kingdom, Germany, France, the Netherlands, Italy, Spain, Sweden, Denmark, Australia and Canada, with many more to come.\nNextdoor is a privately-held company based in San Francisco with backing from prominent investors including Benchmark, Shasta Ventures, Greylock Partners, Kleiner Perkins, Riverwood Capital, Bond, Axel Springer, Comcast Ventures and others. For additional information and images: nextdoor.com/newsroom.']","San Francisco, California, United States",501-1000,"['Communities', 'Internet', 'Mobile Apps', 'Private Social Networking', 'Social Media']",Private,nextdoor.com,['2010'],"['San Francisco Bay Area, West Coast, Western US']","['Adam Ginsburg, David Wiesen, Madison Bell, Nirav Tolia, Prakash Janakiraman, Sarah Leary']",['Active'],NA,['Series F'],['For Profit'],NA,NA,24,9,$455.2M,NA,8,3,16,NA,61,"531,539",104,"78,937,515",-5.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,248,metromile,NA,"['Metromile is a car insurance company using data science and machine learning to offer drivers new and fairer insurance.', ""Metromile is the provider of pay-per-mile car insurance company in the U.S. Powered by data science and machine learning, the company is disrupting a $250 billion auto insurance category. Metromile is building a loyal community of drivers who come for the savings and stay for the experience.\nAVA, Metromile's AI-driven claims system, is"", 'designed to speed up the process of verifying and paying out insurance claims. Using Metromile Pulse sensor data, AVA can reconstruct the scene of an accident to instantly determine if claim details are accurate. When the claim is verified, Metromile is able to automatically approve payments within seconds.']","San Francisco, California, United States",101-250,"['Artificial Intelligence', 'Auto Insurance', 'Automotive', 'Big Data', 'Financial Services', 'FinTech', 'InsurTech', 'Internet', 'Machine Learning', 'Mobile Apps']",Public,www.metromile.com,"['Jan 19, 2011']","['San Francisco Bay Area, West Coast, Western US']","['David Friedberg, Steve Pretre']",['Active'],NA,['Secondary Market'],['For Profit'],NA,NA,13,7,$293M,NA,9,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,249,blockfi-inc,NA,"['BlockFi is a secured non-bank lender that offers crypto-asset-backed USD loans to crypto-asset owners.', ""registered custodian and issuing loans in USD to their bank accounts. Currently operating in beta launch, lending in 35 US states to retail investors and companies.\nBlockFi’s mission is to provide liquidity, transparency, and efficiency to digital financial markets by creating products that meet the needs of consumers and corporations across the globe. They leveraging a sophisticated infrastructure that integrates with multiple blockchains, they plan to expand their product set based on their retail and institutional client's needs.""]","Jersey City, New Jersey, United States",101-250,"['Bitcoin', 'Commercial Lending', 'Consumer Lending', 'Cryptocurrency', 'Ethereum', 'Finance', 'Financial Services', 'FinTech', 'Lending']",NA,blockfi.com/,['Aug 2017'],"['Greater New York Area, East Coast, Northeastern US']","['Flori Marquez, Zac Prince']",['Active'],NA,['Series C'],['For Profit'],NA,NA,32,9,$158.7M,1,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
50,250,fitbit,NA,"['Fitbit offers compact, wireless, wearable sensors that track a person’s daily activities in order to promote a healthy lifestyle.', ""Fitbit inspires people to exercise more, eat better and live healthier lifestyles.\nThe company is developing an ultra-compact wireless wearable sensor, called the Fitbit Tracker, that automatically tracks data about a person's activities, such as calories burned, sleep quality, steps and distance.\nThe Fitbit Tracker collects activity data"", 'automatically while it is worn by the user all day. The collected data is wirelessly uploaded to a website where the wearer can see their data and track their progress toward personal goals. The website provides a motivational interface where users can share their progress, compare themselves against similar people and work toward virtual goals with their friends, family and co-workers. At the website, users can also manually log nutrition, weight and other health information in order to gain a complete picture of their health.\nFitbit makes it easy to achieve a healthy lifestyle by automating the collection of health data and providing a motivating and entertaining user interface.']","San Francisco, California, United States",251-500,"['Apps', 'Fitness', 'Health Care', 'Personal Health', 'Wearables']",Public,www.fitbit.com,"['May 1, 2007']","['San Francisco Bay Area, West Coast, Western US']","['Aatu Nieminen, Eric Friedman, James Park']",['Active'],NA,['Series D'],['For Profit'],NA,NA,NA,NA,$66M,NA,NA,6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,251,nanit,NA,"['Nanit is a startup developing smart baby monitors and sleep tracker devices.', ""and babies everywhere.\nTheir team comes from great companies like Applied Materials, Diapers.com, Philips, Time Warner and Tiny Love, where they've focused on building brands and products people love.""]","New York, New York, United States",Nov-50,"['Baby', 'Child Care', 'Health Care', 'Information Technology', 'Machine Learning']",Private,www.nanit.com/,['2016'],"['Greater New York Area, East Coast, Northeastern US']","['Andrew Berman, Assaf Glazer, Tor Ivry']",['Active'],NA,['Series C'],['For Profit'],NA,NA,13,NA,$74.6M,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,252,consensus-systems,NA,"['ConsenSys develops enterprise applications, invests in startups, builds developer tools, and offers blockchain education.', 'ConsenSys is a market leading blockchain technology company.\nTheir vision is that blockchain technology allows us to progress to the next generation of the Web that they call the “Web 3.0”. They believe the Web 3.0 will serve as the foundation for new economic systems that are more open, efficient, and accessible.\nTheir mission is to enable that', 'progress by building platforms, applications, and tools for Web 3.0, while offering services to ensure they are useful to their customers. And as home to many of the world’s leading blockchain experts, they are proud to collaborate with others in the space on open, shared infrastructure.\nThey are in the early phases of adoption of an entirely new wave of technology that will fundamentally disrupt every industry. They are at the forefront of a revolution.']","Zug, Zug, Switzerland",501-1000,"['Cryptocurrency', 'Mobile', 'Software']",Private,www.consensys.net,"['Oct 1, 2014']",NA,"['Andrew Keys, Joseph Lubin']",['Active'],NA,['Venture - Series Unknown'],['For Profit'],NA,NA,1,1,$10M,1,1,5,80,NA,54,NA,11,"167,280",14.99%,NA,NA,NA,27,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
53,253,evisort,NA,"['Evisort is an AI-powered contract management platform that provides visibility into any document.', 'understand, and extract data from their contracts. With Evisort, information locked away in documents becomes searchable, and key terms can be surfaced to the right people at the right time. It can be used across all documents across an organization and helps companies reduce costs and improve their compliance and business operations.']","San Mateo, California, United States",101-250,"['Analytics', 'Artificial Intelligence', 'Document Management', 'Legal Tech', 'Machine Learning', 'Software']",Private,evisort.com,['2016'],"['San Francisco Bay Area, Silicon Valley, West Coast']","['Amine Anoun, Jake Sussman, Jerry Ting']",['Active'],NA,['Series B'],['For Profit'],NA,NA,7,NA,$55.6M,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
